POSTAL PATRON,PO BOX NO,LYONS  GA   30436,OPEN,OPEN,CITY CODE,LABEL STOP,SELECT CODE,WALK SEQ.,TAG
,895,,,,LSE,,AJ,984,
,896,,,,LSE,,AJ,986,
,897,,,,LSE,,AJ,982,
,898,,,,LSE,,AJ,980,
,899,,,,LSE,,AJ,1295,X
,900,,,,LSE,,AJ,978,
,1001,,,,LSG,,AL,1356,
,536,,,,LSG,,AL,1352,
,1003,,,,LSG,,AL,1348,
,1004,,,,LSG,,AL,1435,X
,1005,,,,LSG,,AL,1354,
,1006,,,,LSG,,AL,1350,
,1007,,,,LSG,,AL,1346,
,1008,,,,LSG,,AL,1342,
,1009,,,,LSG,,AL,1340,
,1010,,,,LSG,,AL,1338,
,1011,,,,LSG,,AL,1440,X
,1012,,,,LSG,,AL,1438,X
,1013,,,,LSG,,AL,1332,
,1014,,,,LSG,,AL,1330,
,1021,,,,LSG,,AL,1445,X
,1022,,,,LSG,,AL,1326,
,1023,,,,LSG,,AL,1322,
,1024,,,,LSG,,AL,1324,
,1025,,,,LSG,,AL,1450,X
,1026,,,,LSG,,AL,1318,
,1027,,,,LSG,,AL,1314,
,1028,,,,LSG,,AL,1455,X
,1031,,,,LSG,,AL,1312,
,1032,,,,LSG,,AL,1310,
,1033,,,,LSG,,AL,1306,
,1034,,,,LSG,,AL,1308,
,1035,,,,LSG,,AL,1304,
,1036,,,,LSG,,AL,1302,
,1037,,,,LSG,,AL,1298,
,1038,,,,LSG,,AL,1300,
,1039,,,,LSG,,AL,1296,
,1040,,,,LSG,,AL,1294,
,1041,,,,LSG,,AL,1290,
,1042,,,,LSG,,AL,1292,
,1043,,,,LSG,,AL,1288,
,1044,,,,LSG,,AL,1460,X
,1051,,,,LSG,,AL,1465,X
,1053,,,,LSG,,AL,1282,
,1054,,,,LSG,,AL,1470,X
,1055,,,,LSG,,AL,1278,
,1056,,,,LSG,,AL,1270,
,1057,,,,LSG,,AL,1274,
,1058,,,,LSG,,AL,1276,
,1061,,,,LSG,,AL,1268,
,1062,,,,LSG,,AL,1272,
,1063,,,,LSG,,AL,1475,
,1064,,,,LSG,,AL,1480,X
,1065,,,,LSG,,AL,1264,
,1066,,,,LSG,,AL,1485,X
,1067,,,,LSG,,AL,1258,
,1069,,,,LSG,,AL,1254,
,1070,,,,LSG,,AL,1250,
,1071,,,,LSG,,AL,1256,
,1072,,,,LSG,,AL,1252,
,1073,,,,LSG,,AL,1248,
,1082,,,,LSG,,AL,1224,
,1083,,,,LSG,,AL,1240,
,1084,,,,LSG,,AL,1490,X
,1085,,,,LSG,,AL,1242,
,1086,,,,LSG,,AL,1238,
,1087,,,,LSG,,AL,1234,X
,1088,,,,LSG,,AL,1236,
,1091,,,,LSG,,AL,1232,
,1092,,,,LSG,,AL,1495,X
,1093,,,,LSG,,AL,1226,
,1094,,,,LSG,,AL,1228,
,1095,,,,LSG,,AL,1224,
,1096,,,,LSF,,AL,1222,
,1097,,,,LSG,,AL,1218,
,1098,,,,LSG,,AL,1220,
,1101,,,,LSG,,AL,1216,
,1102,,,,LSG,,AL,1214,
,1103,,,,LSG,,AL,1210,
,1104,,,,LSG,,AL,1505,X
,1099,,,,LSG,,AL,1500,X
,1100,,,,LSG,,AL,1206,
,1111,,,,LSG,,AL,1202,
,1112,,,,LSG,,AL,1204,
,1114,,,,LSG,,AL,1196,X
,1115,,,,LSG,,AL,1198,
,1116,,,,LSG,,AL,1506,x
,1117,,,,LSG,,AL,1194,
,1118,,,,LSG,,AL,1192,
,1121,,,,LSF,,AN,1184,
,1122,,,,LSF,,AN,1186,
,1123,,,,LSF,,AN,1188,
,1124,,,,LSF,,AN,1325,X
,1125,,,,LSF,,AN,1330,X
,1126,,,,LSF,,AN,1178,
,1127,,,,LSF,,AN,1182,
,1128,,,,LSF,,AN,1335,X
,1129,,,,LSF,,AN,1172,
,1130,,,,LSF,,AN,1340,X
,1131,,,,LSF,,AN,1174,
,1132,,,,LSF,,AN,1160,
,1133,,,,LSF,,AN,1164,
,1134,,,,LSF,,AN,1162,
,1141,,,,LSF,,AN,1166,
,1142,,,,LSF,,AN,1345,X
,1143,,,,LSF,,AN,1156,
,1144,,,,LSF,,AN,1154,
,1145,,,,LSF,,AN,1158,
,1146,,,,LSF,,AN,1144,
,1147,,,,LSF,,AN,1350,X
,1148,,,,LSF,,AN,1355,X
,1151,,,,LSF,,AN,1150,
,1152,,,,LSF,,AN,1136,
,1153,,,,LSF,,AN,1140,
,1154,,,,LSF,,AN,1360,X
,1155,,,,LSF,,AN,1142,
,1156,,,,LSF,,AN,1128,
,1157,,,,LSF,,AN,1132,
,1158,,,,LSF,,AN,1130,
,1159,,,,LSF,,AN,1134,
