ADDRESS,SORT CODE,CITY RTE
704 RAILROAD AVE. LOT 6,1528,1
704 RAILROAD AVE. LOT 7,1530,1
704 RAILROAD AVE. LOT 8,1532,1
708 RAILROAD AVE.,1314,1
712 RAILROAD AVE.,1514,1
714 RAILROAD AVE.,1318,1
908 RAILROAD AVE.,1498,1
904 E. RAILROAD AVE.,1500,1
902 E. RAILROAD AVE.,1502,1
812 E. RAILROAD AVE.,1504,1
806 E. RAILROAD AVE.,1506,1
804 E. RAILROAD AVE.,1510,1
102 ROBBY LANE,1544,1
106 ROBBY LANE,1542,1
108 ROBBY LANE,1540,1
103 ROBBY LANE,1338,1
107 CALHOUN ST. APT. A,1340,1
107 CALHOUN ST. APT B.,1342,1
206 CALHOUN ST.,1546,1
211 CALHOUN ST.,1558,1
213 CALHOUN ST.,1348,1
212 CALHOUN ST.,1556,1
215 CALHOUN ST.,1352,1
319 CALHOUN ST.,1564,1
321 CALHOUN ST.,1566,1
323 CALHOUN ST.,1568,1
324 CALHOUN ST.,1570,1
325 CALHOUN ST.,1572,1
327 CALHOUN ST.,1574,1
329 CALHOUN ST.,1576,1
331 CALHOUN ST.,1578,1
332 CALHOUN ST.,1580,1
333 CALHOUN ST.,1582,1
335 CALHOUN ST.,1584,1
337 CALHOUN ST.,1586,1
826 E. LOUISIANA AVE.,1588,1
822 E. LOUISIANA AVE.,1590,1
822 1/2 E. LOUISIANA AVE.,1592,1
818 E. LOUISIANA AVE.,1594,1
818 1/2 E. LOUISIANA AVE.,1596,1
814 E. LOUISIANA AVE.,1598,1
815 E. LOUISIANA AVE.,1604,1
817 E. LOUISIANA AVE.,1606,1
819 E. LOUISIANA AVE.,1608,1
810 E. LOUISIANA AVE.,1600,1
813 E. LOUISIANA AVE.,1602,1
806 E. LOUISIANA AVE.,1610,1
708 E. LOUISIANA AVE.,1614,1
706 E. LOUISIANA AVE.,1616,1
704 E. LOUISIANA AVE.,1618,1
103 MOYE ST.,1634,1
109 MOYE ST.,1636,2
201 PINEVIEW DR.,1640,1
203 PINEVIEW DR.,1642,1
206 PINEVIEW DR.,1416,1
204 PINEVIEW DR.,1646,1
202 PINEVIEW DR.,1648,1
608 TEXAS AVE.,1652,1
607 E. TEXAS AVE.,1650,1
606 TEXAS AVE.,1654,1
604 TEXAS AVE.,1656,1
602 TEXAS AVE.,1658,1
302 VARNEDO ST.,1660,1
304 VARNEDO ST.,1662,1
510 E. TEXAS AVE.,1668,1
215 VARNEDO ST.,1666,1
506 E LOUISIANA AVE.,1628,1
502 E. LOUISIANA AVE.,1630,1
507 E. LOUISIANA AVE.,1632,1
602 E. LOUISIANA AVE.,1626,1
604 E. LOUISIANA AVE.,1624,1
606 E. LOUISIANA AVE.,1622,1
608 E. LOUISIANA AVE.,1620,1
508 E. TEXAS AVE.,1670,1
504 E. TEXAS AVE.,1456,1
502 TEXAS AVE.,1674,1
303 COLLEGE ST.,1676,1
302 COLLEGE ST.,1678,1
204 COLLEGE ST.,1680,1
105 COLLEGE ST.,1682,1
111 N. COLLEGE ST.,1684,1
115 N. COLLEGE ST.,1686,1
119 N. COLLEGE ST.,1688,1
428 E. LOUISIANA AVE.,1690,1
424 E. LOUISIANA AVE.,1692,1
421 E. LOUISIANA AVE.,1478,1
414 E. LOUISIANA AVE.,1710,1
413 E. LOUISIANA AVE.,1708,1
411 LOUISIANA AVE.,1706,1
409 E. LOUISIANA AVE.,1704,1
403 E. LOUISIANA AVE.,1702,1
109 STEPHENS ST.,1701,1
120 STEPHENS ST.,1700,1
314 E. LOUISIANA AVE.,1698,1
207 STEPHENS ST.,1696,1
402 E. LOUISIANA AVE.,1694,4
314 STEPHENS ST.,1712,1
312 E. RAILROAD AVE.,1714,1
310 E. RAILROAD AVE.,1716,1
302 E. RAILROAD AVE.,1718,1
212 E. RAILROAD AVE.,1720,1
208 E. RAILROAD AVE.,1722,1
END SOPERTON CITY 2###########,1798,2
207 S. 2ND ST.,1800,2
203 W. GEORGIA AVE.,1604,2
201 W. GEORGIA AVE.,1606,2
208 GEORGIA AVE.,1808,2
206 GEORGIA AVE.,1806,2
113 S. 1ST ST.,1810,2
203 N. 2ND ST.,1814,2
205 N. 2ND ST.,1816,2
212 N. 3RD ST.,1822,2
207 N. 2ND ST.,1818,2
214 N. 3RD ST.,1820,2
213 N. 3RD ST.,1824,2
211 N. 3RD ST.,1826,2
207 N. 3RD ST.,1828,2
205 N. 3RD ST.,1830,2
210 N. 3RD ST.,1832,2
206 N. 3RD ST.,1834,2
202 N. 3RD ST.,1836,2
102 E. LOUISIANA AVE.,1838,2
213 W. RAILROAD AVE.,1840,2
107 METTER RD.,1842,2
109 METTER RD.,1844,2
111 METTER RD.,1846,2
307 W. RAILROAD AVE.,246,1
309 W. RAILROAD AVE.,248,1
402 W. LOUISIANA AVE.,362,1
406 W. LOUISIANA AVE.,360,1
406 W. LOUISIANA AVE.,358,1
409 W. LOUISIANA AVE.,312,1
415 W. LOUISIANA AVE.,314,1
421 W. LOUISIANA AVE.,316,1
501 W. LOUISIANA AVE.,318,1
505 W. LOUISIANA AVE.,320,1
506 W. LOUISIANA AVE.,338,1
509 W. LOUISIANA AVE.,322,1
305 GLENN ST.,336,1
304 GLENN ST.,324,1
303 GLENN ST.,334,1
301 GLENN ST.,332,1
302 GLENN ST.,326,1
613 SARABELL AVE.,430,1
612 SARABELL AVE.,328,1
610 SARABELL AVE.,330,1
506 SARABELL AVE.,346,1
505 SARABELL AVE.,340,1
504 SARABELL AVE.,348,1
420 W. LOUISIANA AVE.,350,1
416 W. LOUISIANA AVE.,352,1
412 W. LOUISIANA AVE.,354,1
410 W. LOUISIANA AVE.,356,1
315 W. LOUISIANA AVE.,310,1
1 SYCAMORE DR.,250,1
2 SYCAMORE DR.,252,1
3 SYCAMORE DR.,254,1
4 SYCAMORE DR.,256,1
5 SYCAMORE DR.,258,1
6 SYCAMORE DR.,260,1
7 SYCAMORE DR.,262,1
8 SYCAMORE DR.,264,1
9 SYCAMORE DR.,266,1
10 SYCAMORE DR.,268,1
11 SYCAMORE DR.,270,1
12 SYCAMORE DR.,272,1
13 SYCAMORE DR.,274,1
14 SYCAMORE DR.,276,1
