STREET ADDRESS,WALK SEQ.,CITY CODE
508 W. OGLETHORPE AVE.,1110,2
507 W. OGLETHORPE AVE.,1112,2
505 W. OGLETHORPE AVE.,1114,2
503 W. OGLETHORPE AVE.,1116,2
305 N. VICTORY DR.,1118,2
401 N. VICTORY DR.,1120,2
400 N. VICTORY DR.,1124,2
404 N. VICTORY DR.,1122,2
403 N. VICTORY DR.,1126,2
405 N. VICTORY DR.,1128,2
407 N. VICTORY DR.,1130,2
501 N. VICTORY DR.,1132,2
502 N. VICTORY DR.,1134,2
500 N. VICTORY DR.,1136,2
410 N. VICTORY DR.,1138,2
401 W. OGLETHORPE AVE.,1140,2
308 N. VICTORY DR. APT.1,1142,2
306 N. VICTORY DR.,1144,2
303 N. VICTORY DR.,1146,2
209 N. VICTORY DR.,1148,2
207 N. VICTORY DR.,1150,2
204 N. VICTORY DR.,1152,2
408 W. WESLEY AVE.,1154,2
407 W. WESLEY AVE.,1156,2
405 W. WESLEY AVE.,1158,2
403 W. WESLEY AVE.,1160,2
401 W. WESLEY AVE.,1162,2
301 N. GWINNETT ST.,1164,2
307 N. GWINNETT ST.,1166,2
309 N. GWINNETT ST.,1168,2
306 N. GWINNETT ST.,1170,2
312 W. OGLETHORPE AVE.,1172,2
310 W. OGLETHORPE AVE.,1174,2
308 W. OGLETHORPE AVE.,1176,2
302 N. JEFFERSON ST.,1186,2
209 W. WESLEY AVE.,1188,2
203 W. WESLEY AVE.,1190,2
201 W. WESLEY AVE.,1192,2
201 W. OGLETHORPE AVE.,1194,2
312 N. WASHINGTON ST.,1196,2
301 N. WASHINGTON ST.,1198,2
105 W. WESLEY AVE.,1200,2
103 W. WESLEY AVE. APT.1,1202,2
101 W. WESLEY AVE.,1204,2
100 W. WESLEY AVE.,1206,2
102 W. WESLEY AVE. APT.1,1208,2
104 W. WESLEY AVE. APT.3,1210,2
210 N. WASHINGTON ST. APT.1,1214,2
205 N. WASHINGTON ST.,1216,2
203 N. WASHINGTON ST.,1218,2
202 N. WASHINGTON ST. APT.2,1220,2
202 N. WASHINGTON ST. APT.1,1222,2
115 COLUMBIA AVE.,1224,2
119 COLUMBIA AVE.,1226,2
204 W. COLUMBIA AVE.,1228,2
110 N. WASHINGTON ST. APT.2,1232,2
110 N. WASHINGTON ST. APT.1,1230,2
110 N. WASHINGTON ST. APT.3,1234,2
108 N. WASHINGTON ST.,1236,2
106 N. WASHINGTON ST.,1238,2
109 N. WASHINGTON ST.,1240,2
306 N. STATE ST.,1242,2
312 N. STATE ST. APT.2,1244,2
400 N. STATE ST. APT.1,1246,2
409 N. STATE ST.,1250,2
410 N. STATE ST. APT.2,1252,2
101 E. LINCOLN ST.,1256,2
501 STATE ST. APT.1,1258,2
101 W. LINCOLN AVE.,1260,2
103 W. LINCOLN AVE.,1262,2
105 W. LINCOLN AVE.,1264,2
107 W. LINCOLN AVE.,1266,2
201 W. LINCOLN AVE.,1268,2
203 W. LINCOLN AVE.,1270,2
205 W. LINCOLN AVE.,1272,2
207 W. LINCOLN AVE.,1274,2
