OPEN,PO BOX NO,OPEN,OPEN,OPEN,CITY CODE,LABEL STOP,OPEN,SORT CODE,TAG
,1201,,,,VSL,,AX,1698,
,1202,,,,VSL,,AX,1700,
,1203,,,,VSL,,AX,1702,X
,1204,,,,VSL,,AX,1704,
,1205,,,,VSL,,AX,1706,X
,1206,,,,VSL,,AX,1708,X
,1207,,,,VSL,,AX,1710,
,1208,,,,VSL,,AX,1712,
,1209,,,,VSL,,AX,1714,
,1211,,,,VSL,,AX,1718,
,1212,,,,VSL,,AX,1722,X
,1213,,,,VSL,,AX,1724,
,]214,,,,VSL,,AX,1726,
,1215,,,,VSL,,AX,1728,
,1221,,,,VSL,,AX,1730,
,1222,,,,VSL,,AX,1732,X
,1223,,,,VSL,,AX,1734,X
,1224,,,,VSL,,AX,1736,X
,1225,,,,VSL,,AX,1738,
,1226,,,,VSL,,AX,1740,X
,1227,,,,VSL,,AX,1742,
,1228,,,,VSL,,AX,1744,X
,1229,,,,VSL,,AX,1746,X
,1230 (R),,,,VSL,,AX,1748,
,1231,,,,VSL,,AX,1750,X
,1232,,,,VSL,,AX,1752,
,2585,,,,VST,,,6695,x
,1234,,,,VSL,,AX,1756,X
,1235,,,,VSL,,AX,1758,x
,1236,,,,VSL,,AX,1760,X
,1237,,,,VSL,,AX,1762,X
,90,,,,VSA,X,AV,,
,1239,,,,VSL,,AX,1764,X
,1240,,,,VSL,,AX,1766,
,1241,,,,VSL,,AX,1768,X
,1242,,,,VSL,,AX,1770,
,1243,,,,VSL,,AX,1772,X
,1244,,,,VSL,,AX,1774,
,1245,,,,VSL,,AX,1776,
,1251,,,,VSL,,AX,1778,X
,1252,,,,VSL,,AX,1780,
,1253,,,,VSL,,AX,1782,
,1254,,,,VSL,,AX,1784,
,1255,,,,VSL,,AX,1786,
,1256,,,,VSL,,AX,1788,X
,1257,,,,VSL,,AX,1790,
,1258,,,,VSL,,AX,1792,X
,1259,,,,VSL,,AX,1794,
,1301,,,,VSM,,AZ,1802,
,1302,,,,VSM,,AZ,1804,X
,1305,,,,VSM,,AZ,1810,
,1312,,,,VSM,,AZ,1822,
,1321,,,,VSM,,AZ,1824,X
,1322,,,,VSM,,AZ,1826,
,1323,,,,VSM,,AZ,1828,X
,1327,,,,VSM,,AZ,1836,
,1328,,,,VSM,,AZ,1838,
,1331,,,,VSM,,AZ,1840,X
,1332,,,,VSM,,AZ,1842,X
,1341,,,,VSM,,AZ,1844,X
,1343,,,,VSM,,AZ,1848,X
,1345,,,,VSM,,AZ,1852,X
,1347,,,,VSM,,AZ,1856,X
,1348,,,,VSM,,AZ,1858,X
,1351,,,,VSM,,AZ,1860,
,1352,,,,VSM,,AZ,1862,
